Day,Didinium_1,Didinium_16,Didinium_18,Didinium_35,Didinium_38,Paramecium_1,Paramecium_16,Paramecium_18,Paramecium_35,Paramecium_38,ParameciumAVG,DidiniumAVG
0,0.26,0.26,0.26,0.26,0.26,161,161,161,161,161,161,0.26
1,0.45,0.13,0.26,0.65,0.39,105.00,130.00,180.00,355.00,287.50,211.5,0.374193548
2,0.39,0.84,0.58,1.03,0.84,150.00,225.00,455.00,270.00,395.00,299,0.735483871
3,1.10,1.16,2.58,2.77,1.03,305.00,35.00,105.00,150.00,155.00,150,1.729032258
4,2.13,3.29,6.65,8.97,2.45,70.00,25.00,5.61,0.39,10.00,22.2,4.696774194
5,3.61,6.52,16.26,12.26,1.74,2.06,0.32,30.31,0.19,2.32,7.041935484,8.077419355
8,2.39,4.77,10.32,6.71,1.68,3.53,0.13,55.00,3.53,85.00,28.73225806,5.174193548
9,1.35,2.77,6.58,4.90,1.10,5.00,15.00,65.00,30.00,80.00,39,3.341935484
10,0.90,1.87,2.13,2.13,1.16,15.00,160.00,130.00,15.00,355.00,135,1.638709677
12,1.03,6.45,0.26,0.06,0.13,15.00,130.00,125.00,355.00,25.00,130,1.587096774
14,0.00,0.00,0.00,0.00,0.45,0.00,55.00,120.00,35.00,13.10,44.61935484,0.090322581
16,,,,0.00,0.58,,,,3.16,18.71,10.93548387,0.290322581
18,,,,,1.94,,,,,5.29,5.290322581,1.935483871
21,,,,,4.26,,,,,25.00,25,4.258064516
23,,,,,3.29,,,,,40.00,40,3.290322581
