Genotype,Dish_Number,Date,Day_of,file,X,mean_grey,sd_grey,mean_area,sd_area,mean_perimeter,sd_perimeter,mean_major,sd_major,mean_minor,sd_minor,mean_ar,sd_ar,sd_turning,duration,N_frames,max_net,net_disp,net_speed,gross_disp,gross_speed,max_step,min_step,sd_step,sd_gross_speed,max_gross_speed,min_gross_speed,mean_turning
G56,1,11_1_2022,0,NA,NA,88.45142611,5.319192676,6392.672243,2053.384565,347.2054659,73.79449451,139.8377105,29.7653125,56.70530332,11.41854923,2.536700897,0.569237712,0.533913043,10.28019324,169.4347826,4874.163043,4259.956522,482.9117391,9156.283043,960.913913,855.7491304,8.404347826,81.53086957,482.4173913,3606.62,150.9526087,0.016956522
G56,1,11_2_2022,1,G56_1_11_2_2022,201,92.77842135,5.087443286,6640.035502,2315.784334,358.5696766,77.74216628,146.2196506,30.47455996,55.83647029,11.9388661,2.691212757,0.551993373,0.388571429,11.38095238,186.2380952,5816.43,4552.809524,467.6685714,13151.03095,1189.20381,991.9071429,13.34952381,89.25,467.6757143,3695.087619,230.1128571,0.002380952
G56,1,11_4_2022,3,G56_1_11_4_2022,189,86.43441113,6.600222883,6060.195783,1731.159706,339.9685975,68.5400827,139.5858406,29.03244163,53.46070503,9.306543081,2.655778383,0.614399257,0.456956522,11.14975845,182.0434783,5660.88087,4798,494.2486957,11235.14826,1041.043043,948.7382609,9.04826087,94.89695652,488.1986957,3669.97,127.1547826,0.01173913
G56,1,11_5_2022,4,G56_1_11_5_2022,13,82.73677749,3.090040069,7554.884101,2054.125518,373.250243,72.52356074,150.0427301,32.03762151,62.72478577,11.00676521,2.451091774,0.603652887,0.4848,11.2,188.16,4506.9792,3952.28,375.5552,9784.806,856.204,650.1056,4.6372,58.2544,428.4508,3279.6096,83.4724,0.0172
G33,2,11_1_2022,0,NA,NA,92.25591101,4.421332291,13407.49041,2999.740378,496.2549099,82.94758307,198.2031532,36.80510195,84.95497174,11.55197985,2.368337633,0.482513694,0.481153846,10.77991453,185.8076923,4910.333077,3704.769231,406.505,11848.05731,1099.099615,762.9096154,5.355,65.47730769,445.3057692,3609.729615,96.23538462,0.009230769
G33,2,11_2_2022,1,G33_2_11_2_2022,28.5,89.62237879,8.265619773,10252.5931,3540.279629,468.9711418,104.0506558,193.7144123,40.5972186,65.42490085,14.96899268,3.03884349,0.617832737,0.46,9.822916667,150.125,8087.34,7021.5625,804.815625,20983.14875,2159.2375,1394.86,25.87125,159.375625,692.791875,4889.469375,459.958125,0.006875
G33,2,11_4_2022,3,G33_2_11_4_2022,29,86.35384656,6.560491496,9336.712076,2623.123989,436.6237192,81.15088962,180.2909537,34.01260068,64.57410761,12.33963463,2.848620917,0.589500806,0.396,13.50740741,222.4,7146.046667,6243.2,501.3893333,15709.22067,1182.116667,1025.211333,6.633333333,90.16,452.8946667,4101.377333,107.5993333,0
Mix,22,11_12_2022,12,Mix_2_11_12_2022,379.5,67.7518928,5.010024429,9884.964569,3287.201347,447.0024969,103.2634308,185.982608,44.49370899,64.21238435,13.41780945,2.924417985,0.669172627,0.553125,10.80555556,173.6875,7496.4,6721.1875,750.010625,15466.09438,1517.605625,1091.22,4.6075,119.4525,743.733125,4527.204375,82.319375,-0.01625
Mix,3,10_31_2022,0,NA,NA,88.71580202,5.664656366,10988.16229,3097.984156,468.4540931,93.80362873,191.2959009,38.14061272,70.4416652,13.04062695,2.815717799,0.600697179,0.507971876,10.83273741,177.9864792,5916.529446,4662.881712,495.6060075,15472.55889,1440.492174,1024.448915,10.1155834,97.18751569,555.8242282,4126.770323,170.2946176,0.006129553
Mix,3,11_2_2022,2,Mix_3_11_2_2022,658,91.84556102,8.658945984,6818.156638,2479.922373,375.336538,84.86828278,155.3454564,35.13985476,54.01669888,11.84838647,2.954085455,0.647118741,0.456666667,11.56666667,185.6666667,6803.308667,5257.6,626.5113333,21064.75133,1966.272,1458.383333,29.14666667,126.1433333,594.1633333,4322.93,499.9826667,0.016
